hidden_size,inner_size,n_layers,n_heads,learning_rate,dropout,best_epoch,valid_ndcg@10,valid_recall@10,selected
64,128,1,1,0.001,0.2,40,0.021619,0.039788,False
64,128,1,1,0.001,0.5,122,0.023947,0.044637,False
64,128,1,1,0.0003,0.2,97,0.020538,0.037579,False
64,128,1,1,0.0003,0.5,80,0.022662,0.042465,False
64,128,1,2,0.001,0.2,116,0.022595,0.041305,False
64,128,1,2,0.001,0.5,62,0.02496,0.046132,False
64,128,1,2,0.0003,0.2,50,0.020494,0.037346,False
64,128,1,2,0.0003,0.5,78,0.02278,0.041833,False
64,128,2,1,0.001,0.2,131,0.02285,0.042134,False
64,128,2,1,0.001,0.5,66,0.024794,0.045908,False
64,128,2,1,0.0003,0.2,73,0.02199,0.04047,False
64,128,2,1,0.0003,0.5,61,0.023257,0.042839,False
64,128,2,2,0.001,0.2,118,0.023249,0.042879,False
64,128,2,2,0.001,0.5,38,0.025493,0.046616,False
64,128,2,2,0.0003,0.2,68,0.022161,0.040346,False
64,128,2,2,0.0003,0.5,121,0.024279,0.04435,False
128,256,1,1,0.001,0.2,55,0.02441,0.044237,False
128,256,1,1,0.001,0.5,121,0.025995,0.047521,False
128,256,1,1,0.0003,0.2,68,0.022612,0.040923,False
128,256,1,1,0.0003,0.5,90,0.024418,0.044949,False
128,256,1,2,0.001,0.2,125,0.024937,0.046303,False
128,256,1,2,0.001,0.5,125,0.026115,0.04805,False
128,256,1,2,0.0003,0.2,65,0.022906,0.042489,False
128,256,1,2,0.0003,0.5,95,0.025951,0.048137,False
128,256,2,1,0.001,0.2,105,0.025496,0.046797,False
128,256,2,1,0.001,0.5,86,0.027075,0.050494,False
128,256,2,1,0.0003,0.2,125,0.023661,0.043646,False
128,256,2,1,0.0003,0.5,104,0.025913,0.047664,False
128,256,2,2,0.001,0.2,54,0.025747,0.047544,False
128,256,2,2,0.001,0.5,120,0.027397,0.050906,True
128,256,2,2,0.0003,0.2,108,0.023946,0.043667,False
128,256,2,2,0.0003,0.5,141,0.026638,0.049004,False
256,512,1,1,0.001,0.2,88,0.02276,0.042161,False
256,512,1,1,0.001,0.5,126,0.024631,0.044935,False
256,512,1,1,0.0003,0.2,114,0.021915,0.040304,False
256,512,1,1,0.0003,0.5,70,0.023598,0.043359,False
256,512,1,2,0.001,0.2,96,0.023681,0.043485,False
256,512,1,2,0.001,0.5,135,0.025159,0.045684,False
256,512,1,2,0.0003,0.2,124,0.022228,0.041117,False
256,512,1,2,0.0003,0.5,123,0.024038,0.044158,False
256,512,2,1,0.001,0.2,124,0.024048,0.044432,False
256,512,2,1,0.001,0.5,124,0.026067,0.048134,False
256,512,2,1,0.0003,0.2,90,0.023565,0.042848,False
256,512,2,1,0.0003,0.5,95,0.025407,0.047015,False
256,512,2,2,0.001,0.2,70,0.024571,0.04534,False
256,512,2,2,0.001,0.5,43,0.026585,0.048795,False
256,512,2,2,0.0003,0.2,87,0.023152,0.043144,False
256,512,2,2,0.0003,0.5,130,0.025286,0.046821,False
